project_name_fa,project_name_en,project_name_ru,status_fa,status_en,status_ru,location_fa,location_en,location_ru,site_address_fa,site_address_en,site_address_ru,employer_fa,employer_en,employer_ru,contract_amount,currency,start_date,end_date,start_date_fa,end_date_fa
پروژه سد و نیروگاه راغون,Rogun Dam and Hydropower Plant Project,Проект Рогунской плотины и ГЭС,پایان یافته,Complete,Завершенный,خارجی,International,Международный,تاجیکستان,Tajikistan,Таджикистан,وزارت انرژى و منابع آب جمهورى تاجیکستان  شرکت سهامى عام نیروگاه برق آبى راغون,OJSC Rogun Hydropower Plant (HPP),ОАО «Рогунская ГЭС»,130000000,TJS,1/3/2017,12/31/2017,1395/10/14,1396/10/10
پروژه سد و نیروگاه راغون,Rogun Dam and Hydropower Plant Project,Проект Рогунской плотины и ГЭС,پایان یافته,Complete,Завершенный,خارجی,International,Международный,تاجیکستان,Tajikistan,Таджикистан,وزارت انرژى و منابع آب جمهورى تاجیکستان  شرکت سهامى عام نیروگاه برق آبى راغون,OJSC Rogun Hydropower Plant (HPP),ОАО «Рогунская ГЭС»,170000000,TJS,1/2/2018,12/31/2018,1396/10/12,1397/10/10
پروژه سد و نیروگاه راغون,Rogun Dam and Hydropower Plant Project,Проект Рогунской плотины и ГЭС,پایان یافته,Complete,Завершенный,خارجی,International,Международный,تاجیکستان,Tajikistan,Таджикистан,وزارت انرژى و منابع آب جمهورى تاجیکستان  شرکت سهامى عام نیروگاه برق آبى راغون,OJSC Rogun Hydropower Plant (HPP),ОАО «Рогунская ГЭС»,178285298,TJS,8/28/2019,12/31/2019,1398/06/06,1398/10/10
پروژه سد و نیروگاه راغون,Rogun Dam and Hydropower Plant Project,Проект Рогунской плотины и ГЭС,پایان یافته,Complete,Завершенный,خارجی,International,Международный,تاجیکستان,Tajikistan,Таджикистан,وزارت انرژى و منابع آب جمهورى تاجیکستان  شرکت سهامى عام نیروگاه برق آبى راغون,OJSC Rogun Hydropower Plant (HPP),ОАО «Рогунская ГЭС»,367009076,TJS,1/1/2020,12/31/2020,1398/10/11,1399/10/11
پروژه سد و نیروگاه راغون,Rogun Dam and Hydropower Plant Project,Проект Рогунской плотины и ГЭС,پایان یافته,Complete,Завершенный,خارجی,International,Международный,تاجیکستان,Tajikistan,Таджикистан,وزارت انرژى و منابع آب جمهورى تاجیکستان  شرکت سهامى عام نیروگاه برق آبى راغون,OJSC Rogun Hydropower Plant (HPP),ОАО «Рогунская ГЭС»,308350142,TJS,1/4/2021,12/31/2021,1399/10/15,1400/10/10
"عملیات احداث خط راه آهن دوشنبه - قرغان تپه، بخش وحدت- یاوان در جمهورى تاجیکستان","Construction works of the Dushanbe–Qurghonteppa railway line, Vahdat–Yovon section in the Republic of Tajikistan","Строительные работы по сооружению железнодорожной линии Душанбе – Курган-Тюбе, участок Вахдат – Яван в Республике Таджикистан",پایان یافته,Complete,Завершенный,خارجی,International,Международный,تاجیکستان,Tajikistan,Таджикистан,اداره راه آهن جمهورى تاجیکستان,Railway Administration of the Republic of Tajikistan,Управление железных дорог Республики Таджикистан,20000000,TJS,6/20/2014,6/15/2015,1393/03/30,1394/03/25
احداث راه دسترسی به سد راغون,Access road to Rogun HPP,Строительство подъездной дороги к Рагунской плотине,پایان یافته,Complete,Завершенный,خارجی,International,Международный,تاجیکستان,Tajikistan,Таджикистан,وزارت انرژى و منابع آب جمهورى تاجیکستان  شرکت سهامى عام نیروگاه برق آبى راغون,OJSC Rogun Hydropower Plant (HPP),ОАО «Рогунская ГЭС»,51784640,TJS,1/21/2014,7/15/2015,1392/11/01,1394/04/24
عملیات ژئوتکنیک در نیروگاه برق آبى سنگ توده  1 جمهورى تاجیکستان,Geotechnical operations at the Sangtuda-1 Hydropower Plant in the Republic of Tajikistan,Производство геотехнических работ в Сангтудинской ГЭС-1 в Республике Таджикистан,پایان یافته,Complete,Завершенный,خارجی,International,Международный,تاجیکستان,Tajikistan,Таджикистан,وزارت انرژى و منابع آب جمهورى تاجیکستان  شرکت سهامى عام نیروگاه برق آبى سنگ توده ,OJSC Sangtuda-1 Hydropower Plant,ОАО «Сангтудинская ГЭС-1»,1000000,TJS,11/30/2012,2/15/2013,1391/09/10,1391/11/27
احداث راه عینى  مست چاه کوهى در جمهورى تاجیکستان,Construction of Ayni-Mast Chah Koohi road,Строительство дороги Ини-Маст Чакухи,پایان یافته,Complete,Завершенный,خارجی,International,Международный,تاجیکستان,Tajikistan,Таджикистан,وزارت راه تاجیکستان,Ministry of Transport of the Republic of Tajikistan,Министерство транспорта Республики Таджикистан,7000000,TJS,3/1/2014,6/29/2014,1392/12/10,1393/04/08
پروژه ساخت لندفیل جدید شهر هرازدان به همراه ساختمان و سازه‌هاى مرتبط در جمهورى ارمنستان,Construction of new landfill HRAZDAN (including buildings and structures),Проект строительство нового полигона Хараздан с сопутствующими зданиями и сооружениями,پایان یافته,Complete,Завершенный,خارجی,International,Международный,ارمنستان,Armenia,Армения,"""Kotayki ev Gegharkuniki KKTK"" LLC","Kotayki ev Gegharkuniki KKTK, LLC",ООО «Котайк и Гегаркуник ККТК»,4956782,EUR,12/22/2020,7/14/2022,1399/10/02,1401/04/23
پروژه احداث کانال هاى اصلى و درجه دوم تحت پروژه مدرن سازى سیستم آبیارى(ISMP)  در جمهورى ارمنستان- بخش 1,Rehabilitation of Main and Secondary Canals under the Irrigation System Mdoernization -Phase 1,Реконструкция магистральных и вторичных каналов в рамках Проекта модернизации ирригационной системы (ПМИС) (Первая фаза),پایان یافته,Complete,Завершенный,خارجی,International,Международный,ارمنستان,Armenia,Армения,شاخه اجرای پروژه‌های رشته آب در سازمان سرمایه‌گذاری توسعه سرزمینی ارمنستان ATDF,Armenian Territorial Development Fund-The Republic of Armenia,Фонд территориального развития Армении,552510721,AMD,7/25/2020,3/1/2024,1399/05/04,1402/12/11
پروژه احداث کانال هاى اصلى و درجه دوم تحت پروژه مدرن سازى سیستم آبیارى(ISMP)  در جمهورى ارمنستان- بخش 2,Rehabilitation of Main and Secondary Canals under the Irrigation System Mdoernization -Phase 2,Реконструкция магистральных и вторичных каналов в рамках Проекта модернизации ирригационной системы (ПМИС) (Вторая фаза),پایان یافته,Complete,Завершенный,خارجی,International,Международный,ارمنستان,Armenia,Армения,شاخه اجرای پروژه‌های رشته آب در سازمان سرمایه‌گذاری توسعه سرزمینی ارمنستان ATDF,Armenian Territorial Development Fund-The Republic of Armenia,Фонд территориального развития Армении,1011298284,AMD,7/25/2020,2/20/2023,1399/05/04,1401/12/01
پروژه احداث کانال هاى اصلى و درجه دوم تحت پروژه مدرن سازى سیستم آبیارى(ISMP)  در جمهورى ارمنستان- بخش 3,Rehabilitation of Main and Secondary Canals under the Irrigation System Mdoernization -Phase 3,Реконструкция магистральных и вторичных каналов в рамках Проекта модернизации ирригационной системы (ПМИС) (Третья фаза),پایان یافته,Complete,Завершенный,خارجی,International,Международный,ارمنستان,Armenia,Армения,شاخه اجرای پروژه‌های رشته آب در سازمان سرمایه‌گذاری توسعه سرزمینی ارمنستان ATDF,Armenian Territorial Development Fund-The Republic of Armenia,Фонд территориального развития Армении,995526865,AMD,7/25/2020,12/5/2022,1399/05/04,1401/09/14
پروژه طرح و ساخت پل مرزى باگراتاشن بین ارمنستان و گرجستان,Design and construction of Bagratashen Bridge on the border crossing between Armenia and Georgia,Проектирование и строительство пограничного моста “Баграташен” расположенного на границе Армении с Грузией,پایان یافته,Complete,Завершенный,خارجی,International,Международный,ارمنستان,Armenia,Армения,"وزارت حمل‌ونقل، ارتباطات و فناوری‌های اطلاعات جمهوری ارمنستان و عامل اجرایی آن، سازمان اجرای پروژه‌های حمل‌ونقل (SNCO) / وزارت توسعه منطقه‌ای و زیرساخت گرجستان","Ministry of Transport, Communication and Information Technologies of the Republic of Armenia and
its agent Transport Project Implementation Organization SNCO/ Ministry of Regional Development and Infrastructure of Georgia",,7393348,EUR,11/30/2018,5/22/2022,1397/09/09,1401/03/01
پروژه محوطه سازی استادیوم شهربابک,Landscaping Project of Shahrebabak Stadium,Проект благоустройства территории стадиона Шахр-Бабак,پایان یافته,Complete,Завершенный,داخلی,Domestic,Внутренний,ایران,Iran,Иран,شرکت ملی صنایع مس ایران,National Copper Industries of Iran(NICICO),Национальная иранская медная компания (NICICO),1.28561E+12,IRR,3/13/2022,12/13/2022,1400/12/22,1401/09/22
 اجرای فونداسيون و دیوار حایل زیر زمين پروژه ازگل,Construction of foundation and retaining wall of ozgol project (Tehran),Cтроительство фундамента и подпорной стены проекта Озгол (Тегеран),پایان یافته,Complete,Завершенный,داخلی,Domestic,Внутренний,ایران,Iran,Иран,شرکت ساختمانی عمران تكلار,Techlar Construction Company,Строительная компания Techlar,9.8365E+11,IRR,7/28/2022,12/4/2022,1401/05/06,1401/09/13
"عملیات تعمیر و تکمیل سقف‌هاي کلزیپ سالن هاي نمایشگاه‌های(سقف شیبدارسالن سه قلو) وعملیات تکمیل و تجهیز سالن همایش و بخشی از ساختمان مدیریت (سالن کنفرانس، جلسات و تکمیل بخشی از 
ساختمان اداري)","Repair and Completion Works of the Cold-Deck Roofs of the Exhibition Halls (Sloped Roof of the Triple Hall), and Completion and Equipment Works of the Conference Hall and Part of the Administration Building (Conference Rooms, Meeting Rooms, and Completion of Part of the Administrative Building)","Ремонтные и завершительные работы по холодной крыше выставочных залов (скатная крыша тройного зала), а также работы по завершению и оснащению зала для конференций и части административного здания (конференц-залы, залы для заседаний и завершение части административного здания)",پایان یافته,Complete,Завершенный,داخلی,Domestic,Внутренний,ایران,Iran,Иран, شرکت بهره برداري نمایشگاههاي بین المللی شهر آفتاب تهران, Tehran Aftab International Exhibitions Exploitation Company,Компания эксплуатации международных выставок «Тегеран Афтаб»,2.50698E+11,IRR,6/22/2022,11/26/2022,1401/04/01,1401/09/05
احداث تقاطع غیرهمسطح کاج,Construction of Kaj Interchange,Строительство транспортной развязки Кадж,پایان یافته,Complete,Завершенный,داخلی,Domestic,Внутренний,ایران,Iran,Иран,شهرداری کرج,Karaj Municipality,Муниципалитет Карадж,1.13342E+11,IRR,3/17/2014,3/16/2016,1392/12/26,1394/12/26
احداث رمپ اتصال تندرو به کندرو بلوار شورا,Construction of the ramp connecting fast lane to slow lane of Shora Blvd.,Строительство съезда с скоростной полосы на медленную полосу на бульваре Шора,پایان یافته,Complete,Завершенный,داخلی,Domestic,Внутренний,ایران,Iran,Иран,شهرداری کرج,Karaj Municipality,Муниципалитет Карадж,9600000000,IRR,8/20/2014,12/18/2014,1393/05/29,1393/09/27
مقاوم سازى پل هاى محور مسیر قدیم اسلامشهر  گارقم قطعه 2 (پرندك  گارقم) به منظور افزایش ظرفیت به روش طرح و ساخت غیرصنعتى,Strengthening of railway bridges of the old Eslamshahr-Garqom axial railroad second segment (Parandak-Garqom) to increase load bearing capacity using non industrial EPC method,"Укрепление мостов на оси старого маршрута Исламшехр, участок 2 (Парндек — Гаркем) с целью увеличения пропускной способности методом проектирования и строительства несистемного типа",پایان یافته,Complete,Завершенный,داخلی,Domestic,Внутренний,ایران,Iran,Иран,راه آهن جمهوری اسلامی ایران,The Railways of the Islamic republic of IRAN,Железные дороги Исламской Республики Иран,1.29954E+11,IRR,1/17/2015,7/10/2016,1393/10/27,1395/04/20
"پروژه مقاوم سازى پل هاى محور بافق  بندر عباس قطعه 2 (قره تپه  انشعاب، انشعاب  بندر عباس و انشعاب شهید رجایى) به منظور افزایش ظرفیت به روش طرح و ساخت غیرصنعتى","Strengthening of railway bridges on the Bafgh-Bandar Abbas axial railroad (second segment) (Ghare tappe-Enshe'ab, Enshe'ab-Bandar Abbas, Enshe'ab-Shahid Rajaei) in order to increase load bearing capacity using non-industrial EPC method","Усиление железнодорожных мостов на оси Бафг-Бендер-Аббас (участок 2: Развязка Кара-Тепе, Развязка Бендер-Аббас и Развязка Шахид Раджаи) с целью увеличения грузоподъемности с использованием непромышленного метода проектирования и материально-технического обеспечения и строительства",پایان یافته,Complete,Завершенный,داخلی,Domestic,Внутренний,ایران,Iran,Иран,راه آهن جمهوری اسلامی ایران,The Railways of the Islamic republic of IRAN,Железные дороги Исламской Республики Иран,2.49925E+11,IRR,3/2/2015,3/1/2017,1393/12/11,1395/12/11
"طرح، تهیه و تدارك مصالح و تجهیزات و ساخت (EPC) پروژه بازگشایى محور شمالى بلوار ولیعصر (عج) مهرشهر با راه‌آهن تهران تبریز ( فاز 1)","Engineering, Procurement of materials, and construction (EPC) of the project of opening the north road axis of Valiasr Boulevard in Mehrshahr with Tehran- Tabriz railway and its completion (Phase 1)","проектирование, материально-техническое обеспечение и строительство проекта по соединению северной автомобильной оси бульвара Валиаср в Мехршахре с железной дорогой Тегеран-Тебриз и его завершению  (Первая фаза)",پایان یافته,Complete,Завершенный,داخلی,Domestic,Внутренний,ایران,Iran,Иран,شهرداری کرج,The Railways of the Islamic republic of IRAN,Железные дороги Исламской Республики Иран,63448249127,IRR,1/10/2016,1/9/2017,1394/10/20,1395/10/20
"طرح، تهیه و تدارك مصالح و تجهیزات و ساخت (EPC) پروژه تکمیل بازگشایى محور شمالى بلوار ولیعصر (عج) مهرشهر با راه‌آهن تهران تبریز ( فاز 2)","Engineering, Procurement of materials, and construction (EPC) of the project of opening the north road axis of Valiasr Boulevard in Mehrshahr with Tehran- Tabriz railway and its completion (Phase 2)","проектирование, материально-техническое обеспечение и строительство проекта по соединению северной автомобильной оси бульвара Валиаср в Мехршахре с железной дорогой Тегеран-Тебриз и его завершению (Вторая фаза)",پایان یافته,Complete,Завершенный,داخلی,Domestic,Внутренний,ایران,Iran,Иран,شهرداری کرج,The Railways of the Islamic republic of IRAN,Железные дороги Исламской Республики Иран,60000000000,IRR,5/16/2017,11/12/2017,1396/02/26,1396/08/21
قرارداد مدیریت پروژه تونل انتقال آب دز به قمرود (قطعه 1 و 2),Project Management Contract for water transfer tunnel from Dez to Ghomroud (Sections 1 and 2),Управление проектом водоотводящего тоннеля от Деза до Гамруда (участки 1 и 2),پایان یافته,Complete,Завершенный,داخلی,Domestic,Внутренний,ایران,Iran,Иран,شرکت سهامى آب منطقه‌ای تهران,Tehran Regional Water Company,Тегеранская региональная водная компания,18620000000,IRR,10/23/2007,6/21/2009,1386/08/01,1388/03/31
جمع‌آوری و هدایت آب‌های سطحی اخترآباد  شعبان‌آباد  ولیعصر و منشعبات آن‌ها,Construction of run-off collection system of Akhtar abad-Shaban abad-Valiasr and their branches,"Строительство системы сбора поверхностных вод в Ахтарабаде, Шабанабаде, Валиасре и их ответвлениях",پایان یافته,Complete,Завершенный,داخلی,Domestic,Внутренний,ایران,Iran,Иран,شهرداری کرج,Karaj Municipality,Муниципалитет Карадж,73722536624,IRR,-,-,-,-
احداث سیل برگردان شمالی کرج,Construction of Northern flood diversion channel in Karaj,Строительство северной системы отвода паводковых вод в Карадже,پایان یافته,Complete,Завершенный,داخلی,Domestic,Внутренний,ایران,Iran,Иран,شهرداری کرج,Karaj Municipality,Муниципалитет Карадж,1.92136E+11,IRR,-,-,-,-
"اجراى 180 کیلومتر عملیات بهسازى خط در نواحى شمال، تهران، اصفهان، شرق، جنوب، یزد و شمال شرق (1)","Rehabilitation of 180 km of railways in the northern region, Tehran, Isfahan, east, south, Yazd, and northeast (1)","Реконструкция 180 км железных дорог расположенных в северных регионах ,Тегеране, Исфахане, на востоке, юге, в Йезде и на северо-востоке (1)",پایان یافته,Complete,Завершенный,داخلی,Domestic,Внутренний,ایران,Iran,Иран,راه آهن جمهوری اسلامی ایران,The Railways of the Islamic republic of IRAN,Железные дороги Исламской Республики Иран,5.08464E+11,IRR,3/18/2018,3/17/2020,1396/12/27,1398/12/27
احداث ساختمان اداری برزیل در تهران,Construction of the Brazil Administrative Building in Tehran,Строительство административного здания Бразилии в Тегеране,پایان یافته,Complete,Завершенный,داخلی,Domestic,Внутренний,ایران,Iran,Иран,تونل سد آریانا,Tunnel Sadd Ariana,Тоннель «Садд Ариана»,-,IRR,6/21/2019,6/21/2022,1398/03/31,1401/03/31
احداث ساختمان تجاری اداری در شهر دوشنبه تاجیکستان,Construction of Commercial-Administrative Building in Tajikistan,"Строительство торгово-административного здания в городе Душанбе, Таджикистан",پایان یافته,Complete,Завершенный,خارجی,International,Международный,تاجیکستان,Tajikistan,Таджикистан,بخش خصوصی,Private Sector,Частный сектор,-,IRR,-,-,-,-
احداث کلکتور خیابان شهید بهشتی و بلوار جمهوری و تکمیل آن ,Completion of run-off collection Jomhuri Blvd.-Shahid Beheshti,Строительство системы сбора поверхностных вод улицы Шахида Бехешти и бульвара Джомхури,پایان یافته,Complete,Завершенный,داخلی,Domestic,Внутренний,ایران,Iran,Иран,شهرداری کرج,Karaj Municipality,Муниципалитет Карадж,18631650655,IRR,5/16/2017,11/17/2017,1396/02/26,1396/08/26
"طرح، ساخت و اجرای کلکتور اصلی و جمع‌آوری و دفع آب‌های سطحی و فاضلاب خیابان برغان و تکمیل آن ( فاز1)",Construction of Baraghan main run-off collection system-Phase 1, Строительство системы коллектора поверхностных вод на улице Барган - Первая фаза,پایان یافته,Complete,Завершенный,داخلی,Domestic,Внутренний,ایران,Iran,Иран,شهرداری کرج,Karaj Municipality,Муниципалитет Карадж,18835173971,IRR,5/27/2012,2/21/2013,1391/03/07,1391/12/03
"طرح، ساخت و اجرای کلکتور اصلی و جمع‌آوری و دفع آب‌های سطحی و فاضلاب خیابان برغان و تکمیل آن ( فاز2)",Construction of Baraghan main run-off collection system-Phase 2, Строительство системы коллектора поверхностных вод на улице Барган - Вторая фаза,پایان یافته,Complete,Завершенный,داخلی,Domestic,Внутренний,ایران,Iran,Иран,شهرداری کرج,Karaj Municipality,Муниципалитет Карадж,8000000000,IRR,10/6/2013,2/3/2014,1392/07/14,1392/11/14
"طرح، ساخت و اجرای کلکتور اصلی و جمع‌آوری و دفع آب‌های سطحی و فاضلاب خیابان برغان و تکمیل آن ( فاز3)",Construction of Baraghan main run-off collection system-Phase 3, Строительство системы коллектора поверхностных вод на улице Барган - Третья фаза,پایان یافته,Complete,Завершенный,داخلی,Domestic,Внутренний,ایران,Iran,Иран,شهرداری کرج,Karaj Municipality,Муниципалитет Карадж,4800000000,IRR,8/16/2014,12/14/2014,1393/05/25,1393/09/23
احداث کلکتورحاجی آباد,Construction of Hajiabad run-off collection system, Строительство системы коллектора поверхностных вод на Хаджиабад,پایان یافته,Complete,Завершенный,داخلی,Domestic,Внутренний,ایران,Iran,Иран,شهرداری کرج,Karaj Municipality,Муниципалитет Карадж,3200000000,IRR,12/17/2014,12/17/2015,1393/09/26,1394/09/26
احداث کلکتور تقاطع حافظیه الی کانال فردیس,Construction of run-off collection system from Hafezieh intersection up to Fardis canal, Строительство системы коллектора от перекрёстка Хафезие до канала Фардис,پایان یافته,Complete,Завершенный,داخلی,Domestic,Внутренний,ایران,Iran,Иран,شهرداری کرج,Karaj Municipality,Муниципалитет Карадж,8000000000,IRR,10/28/2015,4/25/2016,1394/08/06,1395/02/06
احداث سیستم کلکتور محمدشهر,Construction of run-off collection system of Mohammadshahr,Строительство системы коллектора в Мохаммадшахре,پایان یافته,Complete,Завершенный,داخلی,Domestic,Внутренний,ایران,Iran,Иран,شهرداری کرج,Karaj Municipality,Муниципалитет Карадж,18200000000,IRR,10/19/2016,1/17/2017,1395/07/28,1395/10/28
احداث سیستم کلکتور میدان مادر,Construction of run-off collection system of Madar Square,Строительство системы коллектора на площади Мадар в Карадже,پایان یافته,Complete,Завершенный,داخلی,Domestic,Внутренний,ایران,Iran,Иран,شهرداری کرج,Karaj Municipality,Муниципалитет Карадж,13965000000,IRR,1/11/2016,2/10/2016,1394/10/21,1394/11/21
احداث سیستم کلکتور بلوار استقلال و رجایی شهر,Construction of run-off collection system Esteghlal Blvd in Rajaei shahr,Строительство системы коллектора для бульвара Истеглал и района Реджайи Шахр,پایان یافته,Complete,Завершенный,داخلی,Domestic,Внутренний,ایران,Iran,Иран,شهرداری کرج,Karaj Municipality,Муниципалитет Карадж,7500000000,IRR,8/14/2017,2/10/2018,1396/05/23,1396/11/21
دیوار حائل کوبولتی در شهر تفلیس,Construction Retaining wall in Tbilisi city,Строительство подпорной стенки в г. Тбилиси,پایان یافته,Complete,Завершенный,خارجی,International,Международный,گرجستان,Georgia,Грузия,اداره منطقه گلدانی شهرداری تفلیس,Gldani district administration of Tbilisi municipality ,Администрация района Глдани муниципалитета Тбилиси,153381,GEL,10/6/2023,12/15/2023,1402/07/14,1402/09/24
احداث و بازسازی سیستم آبرسانی شهر دوشنبه,Construction and Rehabilitation of the Water Supply System in Dushanbe City,Замена магистральных водопроводных труб (Водоканал),پایان یافته,Complete,Завершенный,خارجی,International,Международный,تاجیکستان,Tajikistan,Таджикистан,شرکت دولتی «آب و فاضلاب دوشنبه»,"state unitary enterprise “Dushanbe vodo canal""",Государственное унитарное предприятие «Душанбе водоканал»,431112,USD,3/17/2022,12/30/2024,1400/12/26,1403/10/10
پروژه احداث سیستم آبیارى و زهکشى ماختارال- در جمهورى قزاقستان (قطعه اول),"Improvement of Irrigation and Drainage Systems of  Makhtaaral-1, Frist Launch Area, Under Second Irrigation and Drainage Improvement Project ","Работы по усовершенствованию ирригационно-дренажной системы ""Мактаарал-1б"" Второй пусковой комплекс в рамках  «Второй фазы проекта по усовершенствованию ирригационных и дренажных систем (ПУИД-2)»",پایان یافته,Complete,Завершенный,خارجی,International,Международный,قزاقستان,Kazakhstan,Казахстан,کمیته منابع آبِ وزارت کشاورزی جمهوری قزاقستان,"Committee for Water Resources, Ministry of Agriculture
Republic of Kazakhstan",Комитет по водным ресурсам Министерства сельского хозяйства Республики Казахстан,22123552402,KZT,11/26/2018,6/30/2025,1397/09/05,1404/04/09
